Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7437899219304471,0.5111492281303602,0.7967914438502673,0.6227795193312434,0.8469244878452041
Gradient Boosting,0.7955997161107168,0.6493055555555556,0.5,0.5649546827794562,0.8394598155467721
LightGBM,0.7707594038325053,0.5521472392638037,0.7219251336898396,0.6257242178447276,0.8321152703505647
Random Forest,0.7863733144073811,0.6298932384341637,0.4732620320855615,0.5404580152671755,0.8231651553902193
XGBoost,0.7700496806245565,0.5600961538461539,0.6229946524064172,0.589873417721519,0.8126159291120928
Neural Network,0.7579843860894251,0.5472779369627507,0.5106951871657754,0.5283540802213001,0.7808984990570669
